"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$567,016,350,964","$29,751.00","19,058,825","$11,657,295,465","0.61 %",2022-06-05 13:01:11
2,"Ethereum","$216,908,724,605","$1,792.13","121,058,595","$7,638,306,822","1.80 %",2022-06-05 13:01:11
3,"Tether","$72,665,796,550","$1.00","72,543,449,553","$18,622,702,301","0.01 %",2022-06-05 13:01:11
4,"USD Coin","$54,181,999,677","$1.00","54,052,836,538","$2,621,225,535","0.25 %",2022-06-05 13:01:11
5,"BNB","$48,544,801,801","$297.50","163,276,975","$620,475,266","-0.07 %",2022-06-05 13:01:11
6,"XRP","$19,072,104,292","$0.39","48,343,101,197","$651,980,946","1.51 %",2022-06-05 13:01:11
7,"Cardano","$18,960,982,935","$0.56","33,820,262,544","$377,593,114","1.28 %",2022-06-05 13:01:11
8,"Binance USD","$18,082,658,255","$1.00","18,049,494,761","$1,974,821,436","0.14 %",2022-06-05 13:01:11
9,"Solana","$13,329,345,622","$39.28","339,806,384","$1,047,349,587","6.92 %",2022-06-05 13:01:11
10,"Dogecoin","$10,960,966,194","$0.08","132,670,764,300","$242,268,723","1.70 %",2022-06-05 13:01:11
11,"Polkadot","$10,475,774,477","$9.36","1,118,860,605","$199,570,101","1.19 %",2022-06-05 13:01:11
12,"Wrapped Bitcoin","$8,127,803,243","$29,739.00","273,302","$162,484,722","0.54 %",2022-06-05 13:01:11
13,"TRON","$7,586,654,559","$0.08","93,222,174,055","$626,617,324","2.85 %",2022-06-05 13:01:11
15,"Avalanche","$6,835,838,571","$24.33","280,817,924","$408,845,554","6.92 %",2022-06-05 13:01:11
16,"Dai","$6,442,152,545","$1.00","6,431,077,832","$216,799,227","0.07 %",2022-06-05 13:01:11
17,"Shiba Inu","$5,932,312,246","$0.00","549,146,987,315,510","$165,767,783","0.91 %",2022-06-05 13:01:11
18,"LEO Token","$4,671,632,413","$4.98","935,749,656","$2,298,512","2.33 %",2022-06-05 13:01:11
19,"Cronos","$4,462,074,451","$0.18","25,263,013,692","$16,894,045","0.08 %",2022-06-05 13:01:11
20,"Litecoin","$4,427,847,324","$62.84","70,440,483","$250,396,518","0.68 %",2022-06-05 13:01:11
21,"Polygon","$4,053,355,387","$0.59","6,872,890,164","$165,554,316","0.45 %",2022-06-05 13:01:11
22,"NEAR Protocol","$3,733,516,534","$5.30","704,969,283","$139,726,535","2.24 %",2022-06-05 13:01:11
23,"Stellar","$3,614,477,478","$0.15","24,946,032,071","$155,325,520","1.98 %",2022-06-05 13:01:11
24,"Bitcoin Cash","$3,564,914,445","$187.08","19,082,537","$153,638,001","2.39 %",2022-06-05 13:01:11
25,"FTX","$3,513,412,705","$25.85","136,045,993","$26,120,667","1.01 %",2022-06-05 13:01:11
26,"Chainlink","$3,450,450,326","$7.40","467,009,550","$373,116,776","9.05 %",2022-06-05 13:01:11
27,"Monero","$3,418,011,433","$188.82","18,130,665","$94,613,789","-1.40 %",2022-06-05 13:01:11
28,"Ethereum Classic","$2,953,611,840","$21.87","135,131,666","$116,233,238","1.02 %",2022-06-05 13:01:11
29,"OKB","$2,955,104,811","$11.37","260,143,734","$2,919,308","0.49 %",2022-06-05 13:01:11
30,"Algorand","$2,733,575,869","$0.40","6,867,142,845","$67,630,979","7.82 %",2022-06-05 13:01:11
32,"Cosmos Hub","$2,682,608,354","$9.17","292,586,164","$108,387,537","1.68 %",2022-06-05 13:01:11
33,"Flow","$2,547,351,280","$2.46","1,036,200,000","$17,050,540","0.39 %",2022-06-05 13:01:11
34,"Uniswap","$2,270,147,564","$4.98","456,489,583","$70,831,824","-0.47 %",2022-06-05 13:01:11
35,"VeChain","$2,021,157,920","$0.03","66,760,741,299","$100,371,002","0.75 %",2022-06-05 13:01:11
36,"Hedera","$1,974,817,208","$0.09","21,084,766,583","$41,971,923","5.70 %",2022-06-05 13:01:11
37,"Theta Fuel","$1,886,178,774","$0.06","0","$11,071,122","4.02 %",2022-06-05 13:01:11
39,"Internet Computer","$1,736,262,403","$7.42","234,288,960","$80,305,415","-2.47 %",2022-06-05 13:01:11
40,"Elrond","$1,701,127,440","$75.78","22,453,511","$20,191,288","-0.03 %",2022-06-05 13:01:11
41,"Tezos","$1,700,919,686","$1.92","889,274,861","$46,566,947","1.68 %",2022-06-05 13:01:11
42,"KuCoin","$1,631,664,071","$16.65","97,984,145","$5,422,060","-2.98 %",2022-06-05 13:01:11
43,"Axie Infinity","$1,604,576,996","$20.03","80,079,375","$101,085,520","-0.87 %",2022-06-05 13:01:11
45,"Filecoin","$1,574,842,115","$7.36","214,154,089","$118,085,899","0.31 %",2022-06-05 13:01:11
47,"Decentraland","$1,458,044,639","$0.97","1,501,524,135","$110,476,643","0.23 %",2022-06-05 13:01:11
